1.59	0.63	-0.26		1.62461	0.67127
1.58	0.64	-0.26			
1.58	0.65	-0.27		0.019693854	0.021111303
1.59	0.65	-0.28			
1.6	0.65	-0.27			
1.61	0.66	-0.25			
1.61	0.65	-0.25			
1.6	0.64	-0.25			
1.59	0.61	-0.26			
1.56	0.58	-0.25			
1.56	0.6	-0.27			
1.56	0.58	-0.24			
1.57	0.6	-0.25			
1.59	0.63	-0.25			
1.61	0.66	-0.24			
1.63	0.66	-0.24			
1.63	0.66	-0.25			
1.58	0.7	-0.31			
1.61	0.71	-0.31			
1.61	0.7	-0.31			
1.58	0.64	-0.26			
1.58	0.65	-0.25			
1.59	0.65	-0.23			
1.58	0.66	-0.22			
1.61	0.68	-0.22			
1.6	0.67	-0.21			
1.62	0.68	-0.22			
1.63	0.68	-0.23			
1.62	0.69	-0.24			
1.63	0.69	-0.24			
1.64	0.7	-0.25			
1.65	0.71	-0.23			
1.62	0.69	-0.25			
1.61	0.68	-0.25			
1.61	0.67	-0.26			
1.61	0.67	-0.24			
1.62	0.68	-0.24			
1.62	0.68	-0.25			
1.63	0.69	-0.25			
1.62	0.69	-0.25			
1.62	0.69	-0.24			
1.61	0.68	-0.23			
1.62	0.68	-0.23			
1.6	0.67	-0.25			
1.61	0.68	-0.25			
1.62	0.69	-0.24			
1.62	0.69	-0.28			
1.63	0.69	-0.26			
1.63	0.69	-0.26			
1.64	0.7	-0.25			
1.61	0.67	-0.26			
1.61	0.67	-0.27			
1.6	0.66	-0.25			
1.61	0.66	-0.26			
1.6	0.66	-0.27			
1.62	0.68	-0.24			
1.61	0.66	-0.22			
1.59	0.66	-0.23			
1.61	0.68	-0.23			
1.62	0.68	-0.24			
1.63	0.69	-0.24			
1.64	0.69	-0.21			
1.64	0.69	-0.21			
1.64	0.7	-0.21			
1.63	0.68	-0.22			
1.64	0.69	-0.22			
1.62	0.69	-0.2			
1.58	0.64	-0.24			
1.58	0.65	-0.24			
1.58	0.62	-0.26			
1.58	0.63	-0.26			
1.59	0.63	-0.27			
1.6	0.64	-0.27			
1.61	0.65	-0.27			
1.61	0.66	-0.24			
1.62	0.66	-0.25			
1.6	0.67	-0.25			
1.62	0.67	-0.26			
1.62	0.68	-0.25			
1.63	0.68	-0.25			
1.65	0.69	-0.24			
1.64	0.69	-0.25			
1.62	0.67	-0.22			
1.61	0.66	-0.21			
1.62	0.66	-0.2			
1.62	0.67	-0.21			
1.63	0.68	-0.23			
1.62	0.67	-0.23			
1.63	0.67	-0.23			
1.63	0.68	-0.22			
1.62	0.68	-0.23			
1.63	0.69	-0.23			
1.63	0.68	-0.23			
1.58	0.65	-0.26			
1.57	0.65	-0.24			
1.58	0.66	-0.24			
1.56	0.62	-0.28			
1.54	0.62	-0.28			
1.57	0.64	-0.28			
1.6	0.65	-0.28			
1.6	0.65	-0.27			
1.6	0.66	-0.27			
1.61	0.67	-0.27			
1.62	0.68	-0.27			
1.63	0.69	-0.25			
1.63	0.69	-0.25			
1.63	0.69	-0.25			
1.62	0.67	-0.25			
1.62	0.67	-0.26			
1.63	0.67	-0.26			
1.63	0.67	-0.27			
1.61	0.67	-0.27			
1.63	0.68	-0.26			
1.61	0.67	-0.26			
1.62	0.68	-0.25			
1.63	0.69	-0.26			
1.63	0.7	-0.25			
1.65	0.7	-0.26			
1.64	0.69	-0.25			
1.65	0.69	-0.26			
1.64	0.69	-0.24			
1.62	0.65	-0.22			
1.62	0.65	-0.24			
1.64	0.67	-0.23			
1.62	0.62	-0.21			
1.61	0.61	-0.21			
1.62	0.63	-0.23			
1.61	0.64	-0.26			
1.52	0.55	-0.28			
1.56	0.59	-0.29			
1.59	0.63	-0.28			
1.61	0.64	-0.28			
1.6	0.65	-0.28			
1.59	0.64	-0.25			
1.57	0.6	-0.21			
1.59	0.63	-0.21			
1.63	0.66	-0.21			
1.64	0.69	-0.21			
1.64	0.68	-0.22			
1.64	0.68	-0.23			
1.64	0.69	-0.23			
1.61	0.67	-0.23			
1.59	0.63	-0.21			
1.59	0.64	-0.23			
1.61	0.66	-0.23			
1.62	0.67	-0.22			
1.63	0.69	-0.19			
1.63	0.69	-0.2			
1.63	0.68	-0.22			
1.62	0.68	-0.23			
1.61	0.68	-0.24			
1.59	0.67	-0.24			
1.59	0.68	-0.24			
1.6	0.67	-0.25			
1.62	0.69	-0.25			
1.63	0.69	-0.26			
1.63	0.68	-0.26			
1.64	0.68	-0.25			
1.64	0.68	-0.25			
1.63	0.68	-0.26			
1.62	0.67	-0.26			
1.63	0.68	-0.26			
1.64	0.68	-0.27			
1.62	0.67	-0.25			
1.65	0.69	-0.26			
1.64	0.69	-0.25			
1.63	0.68	-0.24			
1.63	0.68	-0.22			
1.63	0.68	-0.23			
1.63	0.68	-0.24			
1.61	0.67	-0.25			
1.6	0.68	-0.24			
1.61	0.68	-0.26			
1.59	0.68	-0.25			
1.6	0.69	-0.26			
1.61	0.69	-0.26			
1.61	0.68	-0.25			
1.61	0.68	-0.24			
1.62	0.68	-0.24			
1.62	0.68	-0.24			
1.63	0.68	-0.25			
1.63	0.67	-0.25			
1.6	0.65	-0.27			
1.6	0.66	-0.26			
1.59	0.66	-0.27			
1.59	0.67	-0.28			
1.59	0.66	-0.27			
1.6	0.67	-0.28			
1.6	0.67	-0.25			
1.6	0.67	-0.26			
1.61	0.67	-0.26			
1.62	0.68	-0.29			
1.61	0.65	-0.28			
1.62	0.66	-0.27			
1.6	0.66	-0.28			
1.6	0.66	-0.25			
1.62	0.68	-0.25			
1.62	0.68	-0.25			
1.63	0.68	-0.24			
1.6	0.64	-0.23			
1.61	0.65	-0.23			
1.63	0.67	-0.23			
1.63	0.67	-0.23			
1.63	0.66	-0.25			
1.63	0.67	-0.25			
1.63	0.66	-0.26			
1.62	0.67	-0.26			
1.63	0.67	-0.25			
1.64	0.67	-0.25			
1.64	0.67	-0.25			
1.63	0.67	-0.24			
1.61	0.67	-0.24			
1.62	0.67	-0.25			
1.64	0.69	-0.24			
1.64	0.68	-0.23			
1.64	0.68	-0.2			
1.64	0.69	-0.2			
1.62	0.68	-0.22			
1.62	0.67	-0.23			
1.62	0.67	-0.24			
1.62	0.66	-0.23			
1.6	0.66	-0.24			
1.61	0.67	-0.25			
1.61	0.66	-0.26			
1.63	0.68	-0.24			
1.64	0.69	-0.25			
1.64	0.69	-0.26			
1.63	0.67	-0.26			
1.63	0.67	-0.26			
1.62	0.66	-0.25			
1.61	0.65	-0.25			
1.6	0.62	-0.23			
1.6	0.63	-0.22			
1.6	0.64	-0.22			
1.61	0.65	-0.22			
1.62	0.67	-0.22			
1.62	0.66	-0.24			
1.6	0.65	-0.25			
1.62	0.68	-0.24			
1.61	0.67	-0.26			
1.62	0.67	-0.27			
1.62	0.67	-0.25			
1.61	0.66	-0.24			
1.62	0.67	-0.25			
1.62	0.67	-0.24			
1.63	0.67	-0.25			
1.64	0.66	-0.21			
1.64	0.66	-0.21			
1.63	0.66	-0.17			
1.63	0.65	-0.2			
1.62	0.65	-0.21			
1.63	0.66	-0.21			
1.62	0.66	-0.23			
1.62	0.66	-0.23			
1.62	0.65	-0.24			
1.63	0.66	-0.26			
1.63	0.66	-0.26			
1.64	0.67	-0.24			
1.65	0.68	-0.23			
1.64	0.69	-0.27			
1.63	0.67	-0.24			
1.61	0.66	-0.24			
1.62	0.67	-0.24			
1.62	0.68	-0.23			
1.61	0.67	-0.24			
