POS,0,9280,1.30,1.48,-0.14,67,x03
POS,0,9280,1.27,1.49,-0.18,68,x03
POS,0,9280,1.30,1.50,-0.15,90,x03
POS,0,9280,1.28,1.49,-0.18,76,x03
POS,0,9280,1.30,1.51,-0.09,89,x03
POS,0,9280,1.29,1.50,-0.15,75,x03
POS,0,9280,1.27,1.49,-0.20,64,x03
POS,0,9280,1.27,1.47,-0.09,93,x03
POS,0,9280,1.27,1.47,-0.10,92,x03
POS,0,9280,1.24,1.46,-0.16,61,x03
POS,0,9280,1.27,1.48,-0.04,75,x03
POS,0,9280,1.29,1.48,0.03,85,x03
POS,0,9280,1.30,1.48,-0.03,86,x03
POS,0,9280,1.33,1.48,0.04,85,x03
POS,0,9280,1.35,1.49,0.14,67,x03
POS,0,9280,1.37,1.51,0.18,81,x03
POS,0,9280,1.35,1.51,0.18,89,x03
POS,0,9280,1.36,1.52,0.09,88,x03
POS,0,9280,1.36,1.52,0.05,91,x03
POS,0,9280,1.31,1.52,-0.02,76,x03
POS,0,9280,1.32,1.51,-0.08,85,x03
POS,0,9280,1.32,1.52,-0.03,92,x03
POS,0,9280,1.34,1.51,-0.05,89,x03
POS,0,9280,1.34,1.51,-0.07,91,x03
POS,0,9280,1.29,1.51,-0.10,76,x03
POS,0,9280,1.32,1.51,-0.22,72,x03
POS,0,9280,1.31,1.49,-0.19,92,x03
POS,0,9280,1.28,1.49,-0.23,68,x03
POS,0,9280,1.26,1.50,-0.25,67,x03
POS,0,9280,1.29,1.50,-0.06,54,x03
POS,0,9280,1.28,1.50,-0.12,72,x03
POS,0,9280,1.27,1.49,-0.20,60,x03
POS,0,9280,1.33,1.51,-0.07,77,x03
POS,0,9280,1.31,1.51,-0.07,93,x03
POS,0,9280,1.30,1.49,-0.15,64,x03
POS,0,9280,1.27,1.49,-0.21,60,x03
POS,0,9280,1.26,1.48,-0.05,56,x03
POS,0,9280,1.24,1.47,-0.12,63,x03
POS,0,9280,1.22,1.48,-0.18,63,x03
POS,0,9280,1.24,1.49,-0.08,86,x03
POS,0,9280,1.26,1.49,-0.15,72,x03
POS,0,9280,1.27,1.48,-0.23,54,x03
POS,0,9280,1.29,1.49,-0.24,83,x03
POS,0,9280,1.32,1.48,-0.22,89,x03
POS,0,9280,1.28,1.47,-0.25,65,x03
POS,0,9280,1.31,1.48,-0.15,89,x03
POS,0,9280,1.30,1.48,-0.13,93,x03
POS,0,9280,1.31,1.48,-0.06,92,x03
POS,0,9280,1.32,1.48,-0.09,90,x03
POS,0,9280,1.32,1.49,-0.03,92,x03
POS,0,9280,1.35,1.51,0.06,78,x03
POS,0,9280,1.37,1.52,0.13,78,x03
