0.66	1.42	-0.14		0.6535	1.41687
0.64	1.41	-0.16			
0.66	1.43	-0.07			
0.65	1.42	-0.1			
0.69	1.44	-0.04			
0.66	1.42	-0.08			
0.65	1.44	0.01			
0.64	1.41	-0.03			
0.6	1.39	-0.12			
0.61	1.39	-0.17			
0.64	1.41	-0.21			
0.68	1.42	-0.06			
0.69	1.44	0.04			
0.67	1.44	-0.02			
0.64	1.42	-0.07			
0.63	1.4	-0.08			
0.67	1.41	0.04			
0.69	1.44	0.06			
0.65	1.41	0.03			
0.69	1.43	0.12			
0.65	1.4	0.06			
0.68	1.43	0.11			
0.66	1.41	0.03			
0.66	1.42	0.01			
0.64	1.39	-0.1			
0.65	1.41	-0.12			
0.63	1.4	-0.14			
0.62	1.39	-0.14			
0.58	1.37	-0.2			
0.59	1.37	-0.2			
0.61	1.37	-0.24			
0.58	1.38	-0.25			
0.59	1.38	-0.25			
0.58	1.39	-0.24			
0.55	1.36	-0.27			
0.57	1.36	-0.26			
0.57	1.37	-0.26			
0.61	1.41	-0.27			
0.6	1.4	-0.26			
0.64	1.42	-0.1			
0.67	1.44	-0.02			
0.7	1.44	0.08			
0.72	1.46	0.14			
0.73	1.47	0.2			
0.69	1.43	0.05			
0.72	1.44	0.09			
0.68	1.41	-0.03			
0.72	1.42	0.05			
0.67	1.39	-0.04			
0.69	1.43	-0.11			
0.71	1.44	-0.02			
0.68	1.42	-0.03			
0.63	1.39	-0.1			
0.6	1.36	-0.15			
0.65	1.4	-0.16			
0.68	1.43	-0.21			
0.69	1.43	-0.06			
0.71	1.45	0.03			
0.73	1.45	0.06			
0.7	1.42	0			
0.71	1.44	0.08			
0.68	1.43	-0.04			
0.66	1.42	-0.08			
0.66	1.4	-0.14			
0.64	1.39	-0.18			
0.64	1.38	-0.22			
0.67	1.42	-0.22			
0.63	1.4	-0.27			
0.67	1.42	-0.28			
0.7	1.43	-0.12			
0.72	1.44	-0.02			
0.69	1.43	-0.09			
0.71	1.45	0.02			
0.68	1.43	0			
0.67	1.41	-0.1			
0.71	1.43	0.01			
0.67	1.41	-0.06			
0.65	1.4	-0.07			
0.68	1.42	-0.13			
0.71	1.43	-0.03			
0.73	1.44	0.06			
0.73	1.45	0.14			
0.68	1.41	0.01			
0.65	1.44	0.15			
0.68	1.45	0.17			
0.71	1.45	0.23			
0.68	1.42	0.08			
0.7	1.43	0.1			
0.73	1.44	0.15			
0.73	1.45	0.19			
0.69	1.43	0.08			
0.66	1.42	0.02			
0.64	1.4	-0.06			
0.62	1.39	-0.15			
0.6	1.37	-0.21			
0.64	1.4	-0.25			
0.68	1.42	-0.12			
0.66	1.4	-0.15			
0.66	1.42	-0.06			
0.68	1.44	0			
0.68	1.43	-0.07			
0.71	1.44	0.04			
0.73	1.44	0.13			
0.68	1.41	-0.01			
0.66	1.4	-0.05			
0.65	1.39	-0.08			
0.63	1.39	-0.12			
0.66	1.42	-0.14			
0.63	1.4	-0.21			
0.68	1.42	-0.19			
0.67	1.42	-0.23			
0.69	1.44	-0.13			
0.67	1.42	-0.13			
0.69	1.44	-0.02			
0.7	1.46	0.05			
0.71	1.47	0.12			
0.72	1.48	0.14			
0.72	1.48	0.18			
0.69	1.45	0.07			
0.68	1.44	-0.02			
0.67	1.42	-0.08			
0.66	1.41	-0.16			
0.64	1.4	-0.19			
0.67	1.43	-0.22			
0.63	1.4	-0.27			
0.61	1.39	-0.22			
0.59	1.37	-0.26			
0.62	1.41	-0.27			
0.66	1.43	-0.09			
0.65	1.41	-0.08			
0.62	1.4	-0.11			
0.59	1.38	-0.16			
0.63	1.42	-0.18			
0.63	1.41	-0.17			
0.61	1.4	-0.13			
0.65	1.43	-0.17			
0.63	1.42	-0.16			
0.65	1.44	-0.06			
0.62	1.42	-0.1			
0.65	1.44	-0.01			
0.64	1.43	-0.08			
0.62	1.41	-0.07			
0.66	1.43	0.02			
0.64	1.42	-0.05			
0.61	1.4	-0.08			
0.6	1.39	-0.11			
0.59	1.39	-0.11			
0.65	1.42	-0.17			
0.67	1.43	-0.04			
0.65	1.42	-0.09			
0.64	1.41	-0.1			
0.62	1.4	-0.14			
0.66	1.43	-0.19			
0.63	1.41	-0.19			
0.62	1.4	-0.2			
0.67	1.43	-0.1			
0.64	1.42	-0.15			
0.67	1.43	-0.02			
0.65	1.43	-0.08			
0.68	1.44	0.02			
0.7	1.45	0.11			
0.68	1.43	0.05			
0.71	1.44	0.13			
0.72	1.44	0.08			
0.74	1.46	0.11			
0.75	1.47	0.15			
0.7	1.45	0.07			
0.72	1.46	0.14			
0.74	1.46	0.19			
0.7	1.44	0.12			
0.67	1.42	0.05			
0.7	1.44	0.12			
0.71	1.45	0.19			
0.69	1.43	0.06			
0.66	1.42	0.01			
0.66	1.41	-0.06			
0.63	1.38	-0.15			
0.66	1.42	-0.17			
0.68	1.45	-0.05			
0.65	1.41	-0.14			
0.61	1.39	-0.21			
0.59	1.39	-0.25			
0.57	1.38	-0.29			
0.56	1.37	-0.3			
0.61	1.39	-0.32			
0.65	1.41	-0.31			
0.7	1.43	-0.16			
0.66	1.41	-0.23			
0.68	1.43	-0.08			
0.71	1.45	0.02			
0.71	1.43	-0.05			
0.74	1.45	0.06			
0.74	1.47	0.09			
0.76	1.46	0.16			
0.72	1.45	0.08			
