0.41	0.43	-0.46		0.4286	0.42973
0.41	0.44	-0.45			
0.41	0.45	-0.45		0.013146863	0.014107696
0.42	0.44	-0.46			
0.42	0.41	-0.47			
0.41	0.42	-0.47			
0.4	0.42	-0.47			
0.39	0.42	-0.48			
0.4	0.41	-0.5			
0.42	0.41	-0.49			
0.42	0.41	-0.47			
0.41	0.43	-0.46			
0.41	0.42	-0.47			
0.41	0.42	-0.48			
0.42	0.43	-0.46			
0.41	0.43	-0.45			
0.4	0.44	-0.45			
0.4	0.44	-0.46			
0.4	0.45	-0.46			
0.4	0.45	-0.46			
0.4	0.45	-0.45			
0.4	0.45	-0.45			
0.41	0.45	-0.44			
0.41	0.45	-0.46			
0.41	0.44	-0.45			
0.42	0.45	-0.47			
0.42	0.43	-0.47			
0.42	0.44	-0.48			
0.42	0.45	-0.47			
0.42	0.45	-0.47			
0.42	0.43	-0.47			
0.43	0.44	-0.47			
0.43	0.43	-0.46			
0.43	0.42	-0.48			
0.42	0.41	-0.48			
0.44	0.42	-0.48			
0.43	0.41	-0.48			
0.44	0.42	-0.47			
0.42	0.42	-0.46			
0.42	0.43	-0.45			
0.41	0.44	-0.46			
0.42	0.44	-0.46			
0.41	0.43	-0.47			
0.41	0.42	-0.47			
0.41	0.41	-0.49			
0.42	0.42	-0.49			
0.41	0.42	-0.48			
0.42	0.43	-0.46			
0.42	0.44	-0.45			
0.42	0.45	-0.45			
0.43	0.45	-0.46			
0.43	0.46	-0.44			
0.44	0.46	-0.45			
0.44	0.46	-0.45			
0.43	0.45	-0.46			
0.44	0.44	-0.44			
0.44	0.43	-0.46			
0.44	0.42	-0.47			
0.43	0.41	-0.47			
0.44	0.42	-0.45			
0.44	0.43	-0.46			
0.44	0.43	-0.47			
0.44	0.42	-0.46			
0.44	0.42	-0.45			
0.43	0.41	-0.47			
0.43	0.4	-0.48			
0.42	0.43	-0.46			
0.41	0.44	-0.46			
0.43	0.44	-0.45			
0.43	0.45	-0.45			
0.43	0.43	-0.47			
0.42	0.42	-0.47			
0.42	0.42	-0.46			
0.42	0.43	-0.47			
0.41	0.42	-0.49			
0.41	0.44	-0.48			
0.41	0.43	-0.49			
0.42	0.44	-0.5			
0.41	0.43	-0.5			
0.4	0.44	-0.49			
0.41	0.42	-0.48			
0.41	0.41	-0.48			
0.41	0.42	-0.48			
0.41	0.41	-0.48			
0.42	0.4	-0.48			
0.42	0.4	-0.46			
0.41	0.41	-0.47			
0.41	0.41	-0.47			
0.4	0.44	-0.47			
0.43	0.45	-0.46			
0.43	0.45	-0.45			
0.43	0.43	-0.46			
0.44	0.42	-0.46			
0.45	0.42	-0.44			
0.43	0.43	-0.43			
0.43	0.43	-0.42			
0.43	0.43	-0.44			
0.43	0.41	-0.45			
0.44	0.42	-0.44			
