0.14	0.55	0.12		0.11751004	0.561094378		
0.12	0.55	0.01					
0.12	0.55	-0.08					
0.15	0.55	-0.11					
0.16	0.54	-0.14					
0.14	0.55	-0.18					
0.14	0.55	-0.21					
0.14	0.56	-0.23					
0.14	0.57	-0.1					
0.12	0.57	0					
0.13	0.57	0.06					
0.15	0.56	0.13					
0.13	0.56	0.03					
0.15	0.57	0.11					
0.13	0.56	0.15					
0.12	0.58	0.04					
0.14	0.58	0.1					
0.15	0.56	0.15					
0.15	0.57	0.2					
0.12	0.57	0.22					
0.13	0.58	0.25					
0.13	0.58	0.28					
0.14	0.56	0.29					
0.15	0.56	0.3					
0.16	0.56	0.29					
0.16	0.56	0.31					
0.17	0.56	0.3					
0.14	0.56	0.31					
0.13	0.56	0.32					
0.11	0.56	0.31					
0.1	0.56	0.31					
0.11	0.56	0.29					
0.11	0.56	0.3					
0.11	0.56	0.28					
0.13	0.56	0.29					
0.12	0.55	0.28					
0.13	0.56	0.12					
0.12	0.56	0.17					
0.1	0.55	0.21					
0.12	0.55	0.07					
0.1	0.56	-0.03					
0.09	0.55	0.06					
0.07	0.56	-0.02					
0.09	0.55	0.05					
0.11	0.57	-0.03					
0.12	0.56	0.04					
0.1	0.57	0.11					
0.1	0.57	0.16					
0.09	0.55	0.2					
0.08	0.55	0.09					
0.09	0.56	-0.01					
0.09	0.56	0.07					
0.12	0.55	0.13					
0.1	0.56	0.02					
0.09	0.56	0.1					
0.1	0.57	0.16					
0.11	0.57	0.21					
0.1	0.56	0.22					
0.12	0.56	0.24					
0.1	0.56	0.25					
0.11	0.56	0.26					
0.11	0.57	0.11					
0.1	0.56	0.17					
0.11	0.55	0.21					
0.09	0.55	0.07					
0.11	0.56	0					
0.11	0.56	0.05					
0.11	0.55	0.11					
0.12	0.54	0.01					
0.13	0.54	-0.06					
0.13	0.55	-0.13					
0.03	0.64	-0.01					
0.07	0.61	0.07					
0.1	0.59	0.12					
0.12	0.58	0.15					
0.12	0.57	0.19					
0.11	0.56	0.22					
0.09	0.6	0.08					
0.08	0.59	0.12					
0.08	0.58	0.16					
0.08	0.57	0.21					
