0.06	1.38	-0.19		-0.030420842	1.344378758			
0.02	1.36	-0.07						
0.01	1.36	0						
0	1.36	0.12						
0.08	1.38	0						
0.06	1.38	-0.08						
0.03	1.37	0.03						
0	1.34	0.12						
0.07	1.36	0.01						
0.06	1.37	-0.07						
0.01	1.35	0.01						
-0.02	1.33	0.09						
0.06	1.36	-0.01						
0.07	1.37	-0.09						
0.03	1.35	0.04						
0.05	1.36	-0.05						
0.03	1.37	-0.12						
-0.02	1.35	-0.02						
0.08	1.37	-0.08						
0.03	1.36	0.04						
0.03	1.37	-0.06						
-0.01	1.35	0.04						
0.02	1.36	-0.03						
-0.01	1.35	0.06						
-0.2	1.29	0.06						
-0.1	1.32	-0.01						
-0.04	1.34	-0.1						
0	1.36	-0.16						
-0.02	1.33	-0.03						
0.01	1.35	-0.08						
-0.02	1.34	0.05						
-0.15	1.29	0.12						
-0.05	1.33	0						
-0.01	1.35	-0.05						
0.05	1.36	-0.09						
-0.02	1.35	0						
-0.02	1.36	-0.09						
0.05	1.38	-0.16						
0.01	1.37	-0.03						
-0.04	1.36	0.05						
0.02	1.36	-0.04						
-0.02	1.35	0.02						
-0.16	1.31	0.08						
-0.22	1.29	0.11						
-0.1	1.33	0.03						
-0.2	1.3	0.13						
-0.29	1.27	0.15						
-0.17	1.31	0.02						
-0.11	1.33	-0.05						
-0.16	1.31	0.07						
-0.06	1.34	-0.04						
-0.2	1.29	-0.02						
-0.1	1.32	-0.07						
0.01	1.35	-0.18						
-0.03	1.34	-0.07						
0.02	1.36	-0.14						
-0.02	1.34	-0.06						
0.01	1.35	-0.1						
-0.04	1.34	-0.03						
0.01	1.35	-0.09						
-0.01	1.35	0.06						
0.06	1.37	-0.01						
-0.02	1.35	0.08						
-0.16	1.31	0.12						
-0.07	1.33	0						
-0.03	1.35	-0.09						
0.03	1.37	-0.15						
0.06	1.38	-0.24						
0.07	1.38	-0.25						
0.01	1.36	-0.12						
-0.02	1.36	0.03						
0.05	1.38	-0.06						
0.06	1.38	-0.11						
0.06	1.39	-0.18						
0.06	1.39	-0.2						
0.02	1.37	-0.05						
-0.02	1.35	0.04						
0.01	1.37	-0.05						
0.01	1.37	-0.07						
-0.03	1.35	0.02						
0.03	1.37	-0.03						
0.02	1.37	-0.07						
-0.01	1.36	0.06						
-0.01	1.38	0.01						
0.05	1.4	-0.1						
0.02	1.38	0.04						
0.04	1.38	-0.05						
0.02	1.36	0.09						
-0.01	1.34	0.16						
0.09	1.37	0.04						
0.03	1.36	0.1						
0.03	1.36	0.02						
0.01	1.34	0.1						
-0.06	1.31	0.16						
nan	nan	nan						
-0.1	1.32	0.24						
-0.02	1.35	0.08						
0.02	1.36	0						
-0.03	1.33	0.11						
0.04	1.36	0.01						
0.01	1.34	0.12						
-0.01	1.33	0.17						
0.05	1.34	0.04						
0.05	1.35	-0.07						
0.02	1.34	0.04						
-0.03	1.33	0.06						
0.03	1.35	-0.05						
0	1.33	0.03						
0.07	1.36	-0.01						
0.07	1.37	-0.08						
0.08	1.37	-0.13						
0.05	1.36	0						
-0.01	1.35	0.07						
0.01	1.35	-0.04						
-0.02	1.34	0.05						
0.03	1.36	-0.02						
