0.32	1.41	0.28		0.28048	1.412992993	
0.32	1.42	0.35				
0.28	1.4	0.34				
0.26	1.38	0.28				
0.28	1.4	0.07				
0.24	1.39	0.1				
0.21	1.39	0.17				
0.26	1.41	0.03				
0.27	1.41	0.08				
0.28	1.42	0.1				
0.31	1.43	0.12				
0.27	1.41	0.15				
0.24	1.41	0.22				
0.23	1.4	0.28				
0.23	1.41	0.32				
0.26	1.41	0.25				
0.23	1.4	0.31				
0.22	1.38	0.27				
0.26	1.39	0.07				
0.28	1.42	-0.07				
0.3	1.42	0.07				
0.33	1.43	0.17				
0.29	1.41	0.23				
0.25	1.39	0.31				
0.29	1.41	0.21				
0.26	1.4	0.26				
0.26	1.39	0.28				
0.25	1.4	0.08				
0.26	1.42	0.12				
0.25	1.4	0.15				
0.24	1.39	0.18				
0.25	1.4	0.07				
0.27	1.4	-0.02				
0.27	1.41	0.05				
0.3	1.43	0.15				
0.26	1.41	0.13				
0.24	1.4	0.21				
0.24	1.39	0.25				
0.24	1.41	0.06				
0.22	1.4	0.18				
0.2	1.38	0.25				
0.19	1.38	0.3				
0.19	1.37	0.29				
0.25	1.4	0.09				
0.25	1.41	0.01				
0.29	1.42	0.14				
0.31	1.42	0.24				
0.29	1.43	0.31				
0.3	1.44	0.37				
0.3	1.44	0.33				
0.31	1.44	0.37				
0.29	1.42	0.35				
0.29	1.42	0.32				
0.28	1.42	0.33				
0.27	1.43	0.37				
0.25	1.42	0.38				
0.28	1.43	0.42				
0.29	1.43	0.44				
0.32	1.43	0.38				
0.32	1.44	0.41				
0.32	1.43	0.33				
0.33	1.44	0.35				
0.35	1.44	0.4				
0.36	1.44	0.43				
0.31	1.42	0.4				
0.27	1.4	0.31				
0.27	1.4	0.1				
0.24	1.39	0.18				
0.22	1.38	0.14				
0.25	1.4	0.06				
0.22	1.38	0.17				
0.22	1.39	0.05				
0.26	1.42	-0.08				
0.24	1.4	0				
0.26	1.42	0.13				
0.27	1.4	0.22				
0.26	1.41	0.21				
0.24	1.4	0.22				
0.26	1.42	0.03				
0.27	1.43	0.15				
0.26	1.43	0.25				
0.25	1.41	0.25				
0.21	1.4	0.27				
0.26	1.42	0.32				
0.26	1.41	0.3				
0.24	1.39	0.33				
0.24	1.4	0.21				
0.28	1.41	0.29				
0.27	1.41	0.31				
0.25	1.41	0.35				
0.22	1.4	0.32				
0.26	1.41	0.13				
0.28	1.42	0.13				
0.25	1.42	0.22				
0.29	1.43	0.18				
0.31	1.44	0.16				
0.27	1.42	0.2				
0.29	1.43	0.28				
0.33	1.44	0.32				
0.33	1.44	0.37				
0.28	1.41	0.36				
0.28	1.42	0.4				
0.22	1.39	0.43				
0.28	1.4	0.19				
0.24	1.39	0.21				
0.26	1.41	0.03				
0.26	1.39	0.12				
0.26	1.41	-0.02				
0.25	1.4	0.08				
0.28	1.41	0.16				
0.26	1.4	0.19				
0.27	1.41	0.01				
0.26	1.4	0.12				
0.3	1.42	0.21				
0.31	1.42	0.29				
0.34	1.43	0.33				
0.32	1.44	0.38				
