2.5	0.76	0.23		2.50537246	0.776693002
2.51	0.78	0.24			
2.49	0.77	0.25			
2.51	0.77	0.21			
2.5	0.76	0.22			
2.51	0.78	0.23			
2.5	0.77	0.24			
2.47	0.74	0.23			
2.47	0.73	0.23			
2.54	0.77	0.21			
2.55	0.79	0.19			
2.53	0.79	0.22			
2.49	0.74	0.23			
2.47	0.73	0.22			
2.5	0.76	0.19			
2.52	0.78	0.19			
2.51	0.77	0.21			
2.47	0.75	0.22			
2.48	0.76	0.2			
2.48	0.78	0.16			
2.5	0.79	0.19			
2.5	0.78	0.16			
2.48	0.78	0.18			
2.48	0.77	0.14			
2.49	0.77	0.17			
2.49	0.75	0.17			
2.48	0.76	0.2			
2.53	0.79	0.19			
2.55	0.8	0.22			
2.51	0.77	0.2			
nan	nan	nan			
2.51	0.77	0.22			
2.49	0.76	0.22			
2.49	0.75	0.22			
2.51	0.78	0.24			
2.53	0.8	0.21			
2.53	0.78	0.22			
2.55	0.78	0.24			
2.56	0.8	0.2			
2.56	0.82	0.2			
2.59	0.85	0.21			
2.54	0.8	0.23			
nan	nan	nan			
2.55	0.8	0.22			
2.56	0.81	0.19			
2.55	0.81	0.16			
2.54	0.81	0.14			
2.52	0.8	0.17			
2.54	0.81	0.19			
2.5	0.77	0.21			
2.49	0.77	0.22			
nan	nan	nan			
2.55	0.79	0.23			
2.54	0.77	0.23			
2.56	0.78	0.23			
2.58	0.8	0.2			
2.55	0.8	0.18			
2.56	0.8	0.2			
nan	nan	nan			
2.59	0.83	0.2			
nan	nan	nan			
2.58	0.81	0.18			
2.54	0.77	0.17			
2.57	0.79	0.2			
nan	nan	nan			
2.55	0.78	0.2			
2.52	0.76	0.16			
2.53	0.77	0.19			
nan	nan	nan			
2.52	0.76	0.18			
2.54	0.79	0.19			
2.5	0.78	0.17			
2.48	0.77	0.2			
nan	nan	nan			
2.52	0.79	0.21			
2.52	0.78	0.2			
2.51	0.76	0.22			
2.5	0.77	0.22			
2.49	0.77	0.24			
2.53	0.78	0.24			
2.55	0.8	0.23			
2.51	0.77	0.22			
2.53	0.79	0.22			
nan	nan	nan			
2.55	0.79	0.22			
2.56	0.8	0.22			
nan	nan	nan			
2.51	0.78	0.2			
2.51	0.77	0.2			
2.51	0.75	0.22			
2.51	0.75	0.23			
2.46	0.74	0.23			
nan	nan	nan			
2.47	0.73	0.22			
2.48	0.73	0.22			
2.54	0.79	0.19			
2.55	0.79	0.21			
2.54	0.8	0.17			
2.53	0.8	0.17			
2.55	0.81	0.16			
2.54	0.8	0.15			
2.54	0.79	0.16			
2.54	0.8	0.18			
2.58	0.82	0.19			
nan	nan	nan			
2.56	0.81	0.18			
2.57	0.82	0.17			
2.57	0.83	0.18			
2.6	0.85	0.2			
2.57	0.83	0.21			
2.52	0.8	0.22			
2.52	0.82	0.23			
2.51	0.8	0.23			
2.48	0.78	0.22			
2.49	0.79	0.18			
2.52	0.81	0.17			
nan	nan	nan			
2.51	0.78	0.18			
2.54	0.79	0.21			
2.52	0.79	0.22			
2.53	0.8	0.24			
2.52	0.79	0.25			
2.54	0.81	0.21			
2.55	0.81	0.2			
2.52	0.8	0.22			
nan	nan	nan			
2.54	0.82	0.23			
2.54	0.83	0.24			
2.54	0.81	0.23			
2.53	0.8	0.2			
2.55	0.81	0.2			
2.56	0.83	0.2			
2.49	0.78	0.19			
2.49	0.79	0.17			
2.54	0.81	0.2			
2.54	0.82	0.22			
2.5	0.79	0.21			
nan	nan	nan			
nan	nan	nan			
2.53	0.8	0.23			
nan	nan	nan			
nan	nan	nan			
2.54	0.8	0.23			
2.5	0.78	0.18			
2.48	0.77	0.18			
2.48	0.76	0.2			
2.48	0.76	0.21			
2.45	0.74	0.16			
nan	nan	nan			
2.48	0.77	0.09			
2.51	0.78	0.11			
2.51	0.77	0.14			
2.48	0.76	0.15			
2.51	0.78	0.18			
2.5	0.79	0.19			
2.53	0.82	0.18			
2.5	0.78	0.16			
2.51	0.78	0.15			
2.52	0.8	0.13			
nan	nan	nan			
2.54	0.79	0.17			
nan	nan	nan			
2.55	0.8	0.18			
2.52	0.8	0.18			
2.55	0.8	0.17			
2.55	0.8	0.14			
nan	nan	nan			
2.56	0.81	0.18			
2.56	0.79	0.2			
2.54	0.78	0.2			
2.56	0.81	0.16			
2.54	0.79	0.17			
2.54	0.78	0.16			
2.55	0.8	0.18			
nan	nan	nan			
2.54	0.79	0.21			
2.5	0.77	0.21			
2.52	0.79	0.2			
2.53	0.81	0.18			
2.52	0.79	0.19			
2.49	0.77	0.19			
2.51	0.79	0.18			
2.48	0.75	0.2			
2.49	0.76	0.2			
2.46	0.75	0.18			
2.49	0.77	0.21			
2.53	0.77	0.23			
2.52	0.78	0.18			
2.52	0.81	0.15			
2.5	0.79	0.15			
nan	nan	nan			
2.54	0.83	0.18			
2.52	0.81	0.2			
2.51	0.79	0.2			
2.53	0.81	0.22			
2.53	0.82	0.22			
2.5	0.78	0.2			
nan	nan	nan			
2.48	0.75	0.18			
2.51	0.76	0.21			
2.51	0.77	0.19			
2.51	0.77	0.2			
2.5	0.77	0.22			
2.51	0.8	0.19			
2.53	0.81	0.22			
2.5	0.78	0.21			
2.52	0.79	0.2			
2.5	0.77	0.17			
2.51	0.79	0.2			
2.54	0.81	0.21			
2.53	0.78	0.23			
2.54	0.79	0.24			
2.5	0.77	0.22			
2.55	0.81	0.22			
2.58	0.85	0.18			
2.56	0.83	0.17			
2.54	0.81	0.13			
nan	nan	nan			
2.53	0.78	0.16			
2.51	0.77	0.14			
nan	nan	nan			
2.53	0.79	0.17			
2.5	0.8	0.18			
2.5	0.8	0.18			
2.5	0.78	0.2			
nan	nan	nan			
2.48	0.76	0.21			
2.48	0.79	0.19			
2.5	0.81	0.18			
2.53	0.79	0.2			
2.55	0.8	0.17			
nan	nan	nan			
2.55	0.78	0.15			
2.53	0.77	0.18			
2.54	0.78	0.2			
nan	nan	nan			
2.52	0.78	0.21			
2.53	0.81	0.2			
2.52	0.79	0.2			
2.54	0.79	0.22			
2.52	0.79	0.21			
2.49	0.76	0.19			
2.48	0.77	0.18			
nan	nan	nan			
2.49	0.77	0.2			
2.51	0.78	0.22			
2.5	0.77	0.24			
2.53	0.78	0.23			
nan	nan	nan			
2.52	0.78	0.25			
2.48	0.75	0.26			
2.46	0.74	0.21			
2.47	0.75	0.23			
2.46	0.75	0.21			
2.48	0.78	0.21			
2.54	0.81	0.22			
nan	nan	nan			
2.53	0.8	0.24			
2.53	0.8	0.22			
2.55	0.81	0.23			
2.52	0.81	0.24			
2.49	0.78	0.25			
nan	nan	nan			
nan	nan	nan			
2.49	0.79	0.23			
2.53	0.8	0.22			
2.54	0.81	0.21			
2.53	0.8	0.23			
2.51	0.8	0.19			
nan	nan	nan			
2.51	0.79	0.21			
nan	nan	nan			
2.49	0.76	0.21			
2.46	0.75	0.19			
2.46	0.76	0.19			
2.49	0.78	0.22			
2.5	0.78	0.23			
2.5	0.77	0.25			
2.49	0.76	0.26			
2.52	0.79	0.23			
2.54	0.79	0.22			
2.53	0.79	0.17			
2.53	0.81	0.2			
2.53	0.79	0.18			
nan	nan	nan			
2.57	0.81	0.19			
2.52	0.79	0.2			
nan	nan	nan			
2.52	0.77	0.2			
2.49	0.75	0.2			
2.52	0.78	0.19			
2.56	0.81	0.21			
2.57	0.82	0.19			
2.55	0.82	0.2			
nan	nan	nan			
2.56	0.82	0.22			
2.55	0.81	0.17			
2.53	0.8	0.17			
2.53	0.79	0.16			
2.53	0.78	0.14			
2.53	0.79	0.17			
2.52	0.78	0.19			
2.56	0.83	0.19			
2.51	0.79	0.17			
2.51	0.79	0.15			
2.52	0.8	0.19			
2.51	0.8	0.19			
2.51	0.79	0.17			
2.47	0.77	0.19			
2.53	0.81	0.21			
2.5	0.78	0.2			
2.47	0.76	0.18			
2.47	0.76	0.17			
2.44	0.74	0.2			
2.44	0.74	0.2			
2.44	0.75	0.21			
2.45	0.75	0.22			
2.46	0.75	0.22			
2.5	0.77	0.23			
2.51	0.8	0.21			
2.49	0.76	0.17			
2.53	0.8	0.19			
2.53	0.8	0.14			
2.49	0.75	0.16			
2.5	0.77	0.16			
nan	nan	nan			
2.5	0.76	0.14			
2.48	0.75	0.13			
2.46	0.73	0.15			
2.48	0.76	0.18			
2.46	0.74	0.16			
2.46	0.75	0.19			
2.47	0.76	0.17			
2.45	0.75	0.16			
2.5	0.8	0.17			
2.47	0.77	0.19			
2.51	0.81	0.21			
2.52	0.79	0.21			
2.55	0.82	0.22			
2.51	0.79	0.19			
nan	nan	nan			
2.49	0.77	0.18			
2.49	0.77	0.21			
2.47	0.75	0.17			
2.5	0.75	0.18			
2.53	0.78	0.15			
2.54	0.79	0.18			
2.5	0.78	0.15			
2.52	0.8	0.15			
2.51	0.78	0.14			
2.53	0.8	0.16			
2.54	0.8	0.19			
2.5	0.78	0.19			
2.55	0.81	0.21			
nan	nan	nan			
2.54	0.81	0.2			
2.56	0.81	0.22			
2.54	0.8	0.23			
2.52	0.8	0.22			
2.57	0.81	0.23			
2.6	0.84	0.22			
2.57	0.81	0.24			
2.59	0.81	0.22			
2.54	0.79	0.21			
2.55	0.8	0.22			
2.54	0.8	0.21			
2.5	0.79	0.17			
2.53	0.79	0.19			
2.56	0.8	0.21			
2.52	0.77	0.21			
2.54	0.78	0.21			
2.54	0.76	0.2			
2.53	0.75	0.21			
2.53	0.75	0.22			
