0.82	0.24	0.14		0.190680681	0.551131131
0.82	0.24	0.17
0.82	0.26	0.14		0.017442516	0.012408698
0.81	0.28	0.14
0.81	0.28	0.15
0.81	0.29	0.14
0.8	0.3	0.12
0.81	0.3	0.12
0.8	0.28	0.14
0.81	0.29	0.13
0.81	0.29	0.12
0.82	0.3	0.2
0.81	0.29	0.15
0.82	0.27	0.16
0.82	0.27	0.16
0.81	0.25	0.01
0.83	0.25	0.07
0.83	0.23	0.16
0.83	0.22	0.24
0.81	0.21	0.27
0.81	0.21	0.31
0.82	0.25	0.35
0.82	0.27	0.38
0.83	0.25	0.26
0.82	0.27	0.22
0.82	0.25	0.05
0.81	0.27	0.06
0.81	0.27	0.09
0.81	0.28	0.19
0.82	0.28	0.12
0.82	0.26	-0.03
0.82	0.24	-0.12
0.81	0.22	0
0.81	0.21	-0.11
0.81	0.2	-0.19
0.81	0.22	-0.1
0.81	0.24	-0.04
0.81	0.23	0.08
0.81	0.24	0.09
0.81	0.22	-0.03
0.81	0.22	0
0.82	0.24	-0.03
0.82	0.25	0.02
0.82	0.25	0.07
0.83	0.27	0.09
0.82	0.29	0.18
0.82	0.29	0.24
0.82	0.29	0.2
0.81	0.29	0.18
0.81	0.26	0.23
0.82	0.26	0.23
0.82	0.25	0.19
0.82	0.25	0.25
0.82	0.26	0.24
0.82	0.26	0.3
0.82	0.23	0.13
0.82	0.25	0.17
0.81	0.25	0.15
0.81	0.28	0.16
0.81	0.29	0.17
0.8	0.29	0.14
0.8	0.29	0.22
0.81	0.31	0.19
0.8	0.32	0.26
0.81	0.32	0.25
0.82	0.32	0.31
0.82	0.33	0.33
0.82	0.3	0.32
0.82	0.29	0.2
0.82	0.29	0.27
0.82	0.31	0.32
0.82	0.29	0.36
0.82	0.29	0.3
0.82	0.28	0.33
0.82	0.24	0.15
0.81	0.24	0.23
0.81	0.26	0.29
0.81	0.23	0.11
0.81	0.26	0.12
0.81	0.26	0.21
0.8	0.24	0.27
0.8	0.22	0.29
0.79	0.23	0.33
0.81	0.23	0.28
0.81	0.25	0.25
0.81	0.24	0.17
0.81	0.21	0.21
0.8	0.23	0.28
0.8	0.22	0.31
0.81	0.22	0.27
0.82	0.21	0.26
0.82	0.22	0.18
0.82	0.23	0.18
0.82	0.23	0.17
0.82	0.23	0.15
0.82	0.26	0.17
0.82	0.27	0.17
0.81	0.27	0.15
0.81	0.26	0.16
0.81	0.29	0.24
0.81	0.26	0.06
0.82	0.27	0.11
0.82	0.27	0.1
0.82	0.26	0.03
0.82	0.27	0.05
0.81	0.28	0.06
0.82	0.27	0.11
0.83	0.28	0.19
0.84	0.27	0.1
0.84	0.25	0.12
0.84	0.24	0.13
