0.49	1.48	0.4	0.43261	1.47661
0.47	1.49	0.35		
0.5	1.49	0.37		
0.49	1.48	0.37		
0.53	1.49	0.37		
0.52	1.5	0.4		
0.5	1.49	0.42		
0.52	1.5	0.42		
0.49	1.49	0.43		
0.51	1.5	0.42		
0.53	1.51	0.42		
0.5	1.5	0.43		
0.5	1.49	0.41		
0.48	1.49	0.38		
0.4	1.44	0.18		
0.39	1.44	0.16		
0.43	1.46	0.22		
0.39	1.44	0.09		
0.33	1.41	-0.04		
0.28	1.39	-0.13		
0.28	1.37	-0.16		
0.36	1.41	-0.22		
0.41	1.43	-0.07		
0.44	1.45	0.04		
0.45	1.42	-0.01		
0.47	1.43	0.03		
0.49	1.45	0.12		
0.47	1.46	0.14		
0.46	1.47	0.21		
0.46	1.48	0.29		
0.5	1.47	0.32		
0.46	1.48	0.36		
0.46	1.48	0.34		
0.45	1.48	0.38		
0.47	1.49	0.4		
0.49	1.49	0.37		
0.42	1.45	0.24		
0.45	1.46	0.3		
0.44	1.47	0.28		
0.43	1.48	0.23		
0.43	1.47	0.29		
0.45	1.47	0.34		
0.43	1.47	0.31		
0.43	1.48	0.27		
0.42	1.48	0.31		
0.38	1.45	0.14		
0.41	1.45	0.21		
0.42	1.45	0.24		
0.45	1.47	0.29		
0.48	1.48	0.32		
0.49	1.48	0.34		
0.5	1.48	0.33		
0.49	1.48	0.29		
0.51	1.49	0.31		
0.51	1.5	0.33		
0.49	1.49	0.37		
0.5	1.48	0.4		
0.49	1.48	0.41		
0.49	1.47	0.42		
0.49	1.48	0.42		
0.5	1.48	0.42		
0.5	1.48	0.4		
0.49	1.48	0.36		
0.48	1.49	0.33		
0.48	1.49	0.35		
0.41	1.45	0.2		
0.44	1.47	0.25		
0.38	1.44	0.16		
0.42	1.45	0.22		
0.44	1.47	0.28		
0.45	1.47	0.32		
0.39	1.44	0.2		
0.43	1.46	0.26		
0.45	1.46	0.28		
0.44	1.47	0.25		
0.45	1.47	0.27		
0.4	1.47	0.35		
0.44	1.48	0.35		
0.39	1.45	0.22		
0.43	1.47	0.26		
0.46	1.48	0.3		
0.48	1.49	0.35		
0.44	1.47	0.35		
0.49	1.49	0.36		
0.49	1.49	0.37		
0.42	1.46	0.2		
0.45	1.47	0.27		
0.39	1.43	0.11		
0.4	1.44	0.15		
0.42	1.45	0.21		
0.42	1.46	0.28		
0.41	1.46	0.32		
0.41	1.46	0.29		
0.42	1.46	0.3		
0.41	1.47	0.24		
0.42	1.48	0.24		
0.43	1.48	0.28		
0.44	1.5	0.21		
0.47	1.49	0.25		
0.48	1.5	0.29		
0.47	1.49	0.26		
0.46	1.49	0.21		
0.5	1.5	0.25		
0.52	1.5	0.29		
0.42	1.45	0.12		
0.39	1.45	0.13		
0.39	1.46	0.1		
0.39	1.47	0.11		
0.41	1.47	0.15		
0.42	1.49	0.16		
0.45	1.5	0.23		
0.44	1.49	0.28		
0.46	1.49	0.32		
0.44	1.49	0.35		
0.45	1.5	0.37		
0.44	1.49	0.35		
0.47	1.5	0.36		
0.48	1.49	0.33		
0.5	1.49	0.37		
0.43	1.46	0.2		
0.4	1.45	0.18		
0.42	1.46	0.23		
0.43	1.47	0.27		
0.43	1.48	0.32		
0.43	1.47	0.29		
0.46	1.48	0.34		
0.47	1.49	0.36		
0.46	1.49	0.35		
0.46	1.49	0.38		
0.44	1.49	0.41		
0.45	1.48	0.39		
0.44	1.47	0.34		
0.44	1.47	0.37		
0.45	1.48	0.4		
0.45	1.49	0.37		
0.47	1.5	0.4		
0.47	1.5	0.39		
0.47	1.5	0.32		
0.45	1.5	0.26		
0.46	1.5	0.28		
0.47	1.49	0.3		
0.48	1.49	0.34		
0.41	1.46	0.2		
0.43	1.47	0.25		
0.42	1.47	0.23		
0.44	1.49	0.28		
0.44	1.49	0.23		
0.47	1.49	0.28		
0.5	1.5	0.31		
0.49	1.49	0.32		
0.51	1.48	0.35		
0.43	1.44	0.19		
0.44	1.45	0.23		
0.44	1.46	0.29		
0.45	1.46	0.3		
0.47	1.46	0.33		
0.49	1.47	0.35		
0.5	1.48	0.38		
